page_id,page,incoming_from_cities
15923,Schwäbisch Gmünd,483
3457,Mettmann,212
129693,Betzdorf,94
91547,Mayen,410
47451,Bad Aibling,97
3207154,Ochsenfurt,96
42383,Nordhausen,571
112532,Pößneck,102
111193,Traben-Trarbach,69
129794,Dillenburg,437
2247,Hofheim am Taunus,103
12328,Pirna,1062
490171,Bad Windsheim,97
21915,Osterode am Harz,277
49888,Schwalmtal (Niederrhein),62
60726,Büdingen,456
143570,Rheinfelden (Baden),77
18446,Neustadt am Rübenberge,466
67714,Nordhorn,303
142034,Wesseling,111
122763,Kirchheimbolanden,153
21182,Bad Oeynhausen,195
119405,Bad Wiessee,9
294203,Bensheim,862
47433,Elmshorn,201
53359,Alfeld (Leine),164
16966,Bad Dürkheim,330
39229,Remscheid,1763
24186,Siegburg,479
1945517,Rendsburg,792
125538,Schwetzingen,94
21550,Rüsselsheim am Main,63
49875,Pasewalk,215
217986,Oberlungwitz,12
9406,Beeskow,574
33767,Annweiler am Trifels,130
114638,Kusel,282
15646,Petershagen,407
15467,Lutherstadt Wittenberg,662
94501,Rietberg,181
3899291,Coesfeld,229
3225777,Bad Arolsen,203
3040638,Bad Pyrmont,103
41577,Ehingen (Donau),361
4698339,Ludwigsburg,727
905362,Oelde,87
4029,Peine,665
94931,Halle (Westf.),238
34593,Rottweil,581
738335,Lößnitz (Erzgebirge),164
93092,Lohmar,1479
87869,Friedberg (Bayern),331
146249,Neunkirchen (Saar),287
20026,Oberursel (Taunus),93
53164,Wurzen,117
382492,Dernbach (Pfalz),3
9276,Neuruppin,196
88792,Forchheim,253
3753800,St. Ingbert,139
348571,Bad Klosterlausnitz,42
4132200,Dorsten,285
94273,Norden (Ostfriesland),1490
50402,Xanten,209
9299,Seelow,69
132712,Gerolstein,135
86212,Greven,102
1231393,Hofgeismar,202
63468,Freising,901
92098,Fellbach,74
1781163,Dinslaken,228
35944,Kirn,316
1884696,Falkenstein/Vogtl.,32
2851148,Herborn,347
364633,Porta Westfalica (Stadt),261
4187,Quedlinburg,458
204748,Breisach am Rhein,112
22167,Lorsch,429
35786,Pfungstadt,77
230818,Baunatal,100
28326,Leverkusen,505
551616,Kirchhain,293
12294,Bruchsal,154
95497,Brakel,202
71050,Hermsdorf (Thüringen),73
18441,Langenhagen,153
