page,type,incoming,avg
Hoyerswerda,1,2697,56.0000000000000000
Calw,2,2689,78.9529411764705882
Bad Tölz,2,2661,54.2093023255813953
Anklam,2,2656,60.1025641025641026
Alzey,2,2650,57.3529411764705882
Böblingen,2,2646,88.1397058823529412
Fritzlar,2,2641,92.8115942028985507
Hildburghausen,2,2640,53.5658914728682171
Bad Reichenhall,2,2638,54.3607594936708861
Demmin,2,2624,52.5671641791044776
Neu-Ulm,1,2618,209.1945945945945946
St. Wendel,2,2595,80.5700934579439252
Torgau,2,2590,29.5312500000000000
Bad Dürkheim,2,2561,68.3299492385786802
Lohmar,6,2561,76.3717277486910995
Hechingen,2,2556,55.2072072072072072
Weinheim,2,2553,79.0662251655629139
Mayen,2,2546,76.6060606060606061
Grevenbroich,6,2542,49.7880184331797235
Ratingen,6,2542,206.8875000000000000
Dillingen an der Donau,2,2534,62.8560606060606061
Traunstein,1,2533,70.7804878048780488
Geldern,6,2532,70.4098360655737705
Delitzsch,2,2528,45.5074626865671642
Erding,2,2524,49.9420289855072464
Singen (Hohentwiel),2,2516,58.8256880733944954
Hann. Münden,2,2512,176.2989690721649485
Biedenkopf,2,2510,86.4916666666666667
Lich,2,2509,121.4545454545454545
Lichtenfels (Oberfranken),2,2502,74.7079646017699115
Biberach an der Riß,2,2476,74.0740740740740741
Heide (Holstein),2,2473,61.0370370370370370
Kitzingen,2,2468,71.1137724550898204
Meppen,2,2466,85.1911764705882353
Nienburg/Weser,2,2450,64.2535211267605634
Rinteln,2,2443,66.3618421052631579
Starnberg,2,2422,84.4504504504504505
Jever,2,2421,71.6132075471698113
Marl,6,2416,122.7189542483660131
Vechta,2,2416,66.5818181818181818
Jüterbog,2,2409,71.9333333333333333
Pinneberg,4,2397,90.4881889763779528
Günzburg,2,2396,68.2843137254901961
Menden (Sauerland),6,2393,89.0708955223880597
Germersheim,2,2392,90.4800000000000000
Mettmann,6,2388,76.3650442477876106
Borken,6,2384,107.8780487804878049
Aschersleben,2,2383,46.0000000000000000
Dorsten,6,2382,94.5000000000000000
Mosbach,2,2380,83.2166666666666667
