page,type,incoming,avg_within_10k,linking_places_within_10k,incoming_within_10k
Lörrach,1,5048,182.8406113537117904,465,1679
Naumburg (Saale),3,5027,93.8461538461538462,135,894
Bad Kreuznach,2,4982,56.1712328767123288,151,1242
Dachau,2,4908,141.2075471698113208,112,1076
Wismar,2,4878,58.1518987341772152,79,841
Moers,6,4858,219.4946236559139785,281,1349
Hameln,3,4834,60.3301886792452830,108,1201
Esslingen am Neckar,2,4791,142.3591731266149871,399,1155
Oberstdorf,2,4784,32.4074074074074074,138,636
Rudolstadt,3,4783,76.2500000000000000,166,672
Kaufbeuren,1,4775,50.6705882352941176,91,665
Hemer,6,4708,83.9570957095709571,303,2046
Stendal,3,4603,30.6712328767123288,75,743
Ilmenau,2,4557,55.5795454545454545,177,1523
Saarlouis,2,4471,191.2941176470588235,172,2034
Unna,6,4433,79.1106382978723404,236,1325
Limburg an der Lahn,3,4365,88.3504672897196262,218,1171
Greiz,2,4325,54.1217391304347826,118,884
Viersen,6,4293,61.4440559440559441,871,2555
Landau in der Pfalz,3,4280,80.0833333333333333,144,1078
Landau in der Pfalz,5,4280,80.0833333333333333,144,1078
Rendsburg,2,4262,85.1973684210526316,78,902
Aue (Sachsen),2,4237,93.9939393939393939,165,837
Lemgo,6,4227,70.1695906432748538,171,1182
Heinsberg,6,4226,55.7500000000000000,233,2128
Wesel,6,4223,99.6065573770491803,123,1117
Freital,2,4195,296.3033586132177681,926,2077
Euskirchen,6,4182,43.5317073170731707,209,1400
Neustadt an der Weinstraße,5,4164,88.6875000000000000,177,770
Suhl,3,4118,58.1101694915254237,119,859
Sondershausen,2,4108,66.0506329113924051,82,812
Helmstedt,2,4072,62.2477876106194690,114,990
Gunzenhausen,2,4056,46.1174242424242424,269,2265
Kulmbach,3,4023,140.8989898989898990,100,738
Eckernförde,2,3990,42.2531645569620253,82,946
Bad Homburg vor der Höhe,2,3967,74.7380191693290735,323,826
Neustrelitz,2,3904,31.5285714285714286,70,795
Bensheim,2,3887,101.2032085561497326,191,1586
Pirmasens,2,3837,66.8571428571428571,98,632
Eberswalde,2,3834,100.1304347826086957,69,921
Zittau,2,3830,60.5655737704918033,122,878
Hattingen,6,3827,69.5340253748558247,871,1216
Roth,2,3814,78.2812500000000000,136,1127
Güstrow,2,3790,52.2291666666666667,49,563
Offenburg,1,3771,82.8405797101449275,69,594
Aalen,2,3748,97.6132075471698113,107,895
Arnstadt,2,3736,350.7469135802469136,165,781
Warburg,6,3722,48.7054263565891473,132,1314
Göppingen,2,3701,70.2702702702702703,111,1029
Friedberg (Hessen),3,3692,99.6549295774647887,144,801
Bingen am Rhein,2,3680,78.6861702127659574,193,673
Mühlhausen/Thüringen,3,3651,4966.5454545454545455,111,694
Rottweil,2,3647,59.9577464788732394,72,937
Neumünster,1,3644,28.3600000000000000,75,765
Rastatt,2,3642,103.8660714285714286,112,828
Schmallenberg,6,3641,65.3113772455089820,167,1427
Homburg,2,3640,82.4327485380116959,173,1756
Homburg,3,3640,82.4327485380116959,173,1756
Annaberg-Buchholz,2,3597,184.8703703703703704,109,537
Bad Honnef,6,3582,93.8393162393162393,586,1769
Bottrop,2,3575,174.5823045267489712,490,1019
Olpe,6,3567,42.5328467153284672,137,755
Frankenthal (Pfalz),2,3562,253.6531791907514451,353,692
Höxter,6,3543,99.5904761904761905,105,956
