page_id,page,min
142071,Achern,1517.53160430645
130347,Neuerburg,1520.91758881064
3230988,Lübbenau/Spreewald,1523.82210975733
382492,Dernbach (Pfalz),1524.33127182647
27377,Müllheim (Baden),1524.87531547659
23873,Neuwied,1526.57151462553
50402,Xanten,1526.95976589257
127891,Tirschenreuth,1530.16523615545
18422,Buchholz in der Nordheide,1532.58021026717
832551,Tauberbischofsheim,1535.29582117565
29519,Starnberg,1538.09165080108
37703,Böblingen,1542.29765029002
3225777,Bad Arolsen,1554.51075370765
137110,Haan,1557.83725343353
691449,Wangen im Allgäu,1564.20221526531
41323,Wolfratshausen,1564.99458650122
272258,Lauterecken,1565.46111267389
1884696,Falkenstein/Vogtl.,1568.76961661886
34974,Sinsheim,1571.51996285703
2851148,Herborn,1573.56641473309
69084,Bruchköbel,1573.60055178802
37061,Neuburg an der Donau,1579.7436607326
1702,Flörsheim am Main,1582.96152612304
142034,Wesseling,1584.6596915355
23097,Kamenz,1589.42037409084
78327,Prüm,1591.34758324639
18450,Uelzen,1596.2275051094
85365,Mindelheim,1596.41832137662
158038,Lauterbach (Hessen),1600.5827841568
381753,Immenstadt im Allgäu,1600.70781536807
39745,Nettetal,1606.76071341467
35799,Groß-Gerau,1606.88672377128
71879,Bergkamen,1611.17861269856
81875,Homberg (Efze),1611.51975715946
17904,Altenburg,1617.96934471525
199959,Karlstadt,1622.32514494032
72986,Bad Harzburg,1622.3367129518
75462,Eisenberg (Thüringen),1623.68783228841
203103,Stadtroda,1628.43858619033
81000,Jülich,1631.11475488203
210367,Simbach am Inn,1632.27568536963
15318,Braunau am Inn,1632.27568536981
71994,Schmallenberg,1632.32819494681
235430,Hünfeld,1633.95975684665
89359,Bebra,1637.67368788101
33767,Annweiler am Trifels,1637.91812964034
21115,Varel,1639.22368185773
109413,Artern/Unstrut,1640.39521865877
143808,Münsingen (Württemberg),1642.05498828026
100228,Bad Langensalza,1642.62475909564
41624,Heppenheim (Bergstraße),1645.21339400932
155978,Besigheim,1645.86518348548
57421,Königswinter,1649.52691174434
84606,Kaarst,1649.9995129116
59595,Sigmaringen,1650.0530235692
2247,Hofheim am Taunus,1653.87021571311
95445,Lage (Lippe),1655.61107833968
18424,Duderstadt,1656.31616753274
17918,Wolfenbüttel,1661.21584809557
1771288,Zell (Mosel),1662.90148222538
146249,Neunkirchen (Saar),1668.30660130918
74787,Lichtenfels (Oberfranken),1671.19157726132
129005,Ellwangen (Jagst),1672.01048071173
145074,Georgsmarienhütte,1672.10550867658
688997,Ennepetal,1673.86299392694
70970,Neuötting,1680.33712794575
20494,Altötting,1680.337127946
184476,Wittmund,1683.06086673452
116080,Adenau,1683.13005126808
495634,Neustadt an der Donau,1689.792304499
71920,Kamen,1697.87378843932
3099519,Lutherstadt Eisleben,1697.89450543624
54688,Kaltenkirchen,1698.91307346027
20026,Oberursel (Taunus),1699.00229125427
5328,Unna,1701.52712604928
72048,Schwelm,1703.64174393648
74301,Birkenfeld (Nahe),1706.2186012156
53164,Wurzen,1708.0964084433
4698339,Ludwigsburg,1709.55319110797
32184,Murnau am Staffelsee,1709.62933626632
104150,Herzogenrath,1710.50867544989
11706,Arnsberg,1711.50107249737
100182,Traunreut,1719.2044558441
206562,Alsfeld,1723.67355840665
1981270,Bernburg (Saale),1724.65756736792
92387,Wittlich,1725.09600684872
48727,Bad Hersfeld,1732.42995225917
1945517,Rendsburg,1742.50963528981
669,Bad Soden am Taunus,1742.90872481975
2713295,Soltau,1745.7768408358
66725,Eichstätt,1748.23804047089
158416,Wirges,1748.86274141562
111193,Traben-Trarbach,1749.9889025385
9278,Königs Wusterhausen,1752.44047669202
201488,Hammelburg,1753.1981718208
24722,Wunstorf,1753.53987612859
18435,Holzminden,1754.54282038525
91399,Bietigheim-Bissingen,1755.4405082011
61466,Burgdorf (Region Hannover),1759.23718885633
126553,Sinzig,1760.5418756012
21184,Barsinghausen,1760.71625996734
27947,Borna,1761.98492021478
188494,Lüchow (Wendland),1767.5439695152
87869,Friedberg (Bayern),1768.61901585391
