place;state;center
Lohr am Main;Brandenburg;Mittelzentren
Mainburg;Brandenburg;Mittelzentren
Marktheidenfeld;Brandenburg;Mittelzentren
Marktoberdorf;Brandenburg;Mittelzentren
Miltenberg;Brandenburg;Mittelzentren
Mindelheim;Brandenburg;Mittelzentren
Moosburg an der Isar;Brandenburg;Mittelzentren
Murnau am Staffelsee;Brandenburg;Mittelzentren
Mühldorf am Inn;Brandenburg;Mittelzentren
Münchberg;Brandenburg;Mittelzentren
Naila;Brandenburg;Mittelzentren
Neuburg an der Donau;Brandenburg;Mittelzentren
Neustadt an der Aisch;Brandenburg;Mittelzentren
Neustadt bei Coburg;Brandenburg;Mittelzentren
Neutraubling;Brandenburg;Mittelzentren
Nördlingen;Brandenburg;Mittelzentren
Oberstdorf;Brandenburg;Mittelzentren
Ochsenfurt;Brandenburg;Mittelzentren
Parsberg;Brandenburg;Mittelzentren
Pegnitz (Stadt);Brandenburg;Mittelzentren
Penzberg;Brandenburg;Mittelzentren
Pfaffenhofen an der Ilm;Brandenburg;Mittelzentren
Pfarrkirchen;Brandenburg;Mittelzentren
Roth;Brandenburg;Mittelzentren
Rothenburg ob der Tauber;Brandenburg;Mittelzentren
Schrobenhausen;Brandenburg;Mittelzentren
Schwabmünchen;Brandenburg;Mittelzentren
Schwandorf;Brandenburg;Mittelzentren
Selb;Brandenburg;Mittelzentren
Starnberg;Brandenburg;Mittelzentren
Sulzbach-Rosenberg;Brandenburg;Mittelzentren
Tirschenreuth;Brandenburg;Mittelzentren
Viechtach;Brandenburg;Mittelzentren
Vilsbiburg;Brandenburg;Mittelzentren
Vilshofen an der Donau;Brandenburg;Mittelzentren
Waldkraiburg;Brandenburg;Mittelzentren
Wasserburg am Inn;Brandenburg;Mittelzentren
Weilheim in Oberbayern;Brandenburg;Mittelzentren
Weißenburg in Bayern;Brandenburg;Mittelzentren
Amberg;Hessen;Oberzentren
Ansbach;Hessen;Oberzentren
Aschaffenburg;Hessen;Oberzentren
Augsburg;Hessen;Oberzentren
Bamberg;Hessen;Oberzentren
Bayreuth;Hessen;Oberzentren
Coburg;Hessen;Oberzentren
Hof (Saale);Hessen;Oberzentren
Ingolstadt;Hessen;Oberzentren
Kaufbeuren;Hessen;Oberzentren
Kempten (Allgäu);Hessen;Oberzentren
Landshut;Hessen;Oberzentren
Memmingen;Hessen;Oberzentren
München;Hessen;Oberzentren
Passau;Hessen;Oberzentren
Regensburg;Hessen;Oberzentren
Rosenheim;Hessen;Oberzentren
Schweinfurt;Hessen;Oberzentren
Straubing;Hessen;Oberzentren
Traunstein;Hessen;Oberzentren
Weiden in der Oberpfalz;Hessen;Oberzentren
Würzburg;Hessen;Oberzentren
Freising;Hessen;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Garmisch-Partenkirchen;Hessen;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Kulmbach;Hessen;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Neumarkt in der Oberpfalz;Hessen;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Schwabach;Hessen;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Alzenau;Hessen;Mittelzentren
Aichach;Hessen;Mittelzentren
Bad Aibling;Hessen;Mittelzentren
Bad Brückenau;Hessen;Mittelzentren
Bad Kissingen;Hessen;Mittelzentren
Bad Kötzting;Hessen;Mittelzentren
Bad Neustadt an der Saale;Hessen;Mittelzentren
Bad Reichenhall;Hessen;Mittelzentren
Bad Tölz;Hessen;Mittelzentren
Bad Windsheim;Hessen;Mittelzentren
Bad Wörishofen;Hessen;Mittelzentren
Berchtesgaden;Hessen;Mittelzentren
Bogen (Stadt);Hessen;Mittelzentren
Burghausen;Hessen;Mittelzentren
Cham (Oberpfalz);Hessen;Mittelzentren
Dachau;Hessen;Mittelzentren
Dingolfing;Hessen;Mittelzentren
Dinkelsbühl;Hessen;Mittelzentren
Donauwörth;Hessen;Mittelzentren
Eggenfelden;Hessen;Mittelzentren
Eichstätt;Hessen;Mittelzentren
Erding;Hessen;Mittelzentren
Forchheim;Hessen;Mittelzentren
Freilassing;Hessen;Mittelzentren
Freyung;Hessen;Mittelzentren
Friedberg (Bayern);Hessen;Mittelzentren
Fürstenfeldbruck;Hessen;Mittelzentren
Füssen;Hessen;Mittelzentren
Germering;Hessen;Mittelzentren
Gerolzhofen;Hessen;Mittelzentren
Grafenau (Niederbayern);Hessen;Mittelzentren
Gunzenhausen;Hessen;Mittelzentren
Hammelburg;Hessen;Mittelzentren
Haßfurt;Hessen;Mittelzentren
Hersbruck;Hessen;Mittelzentren
Herzogenaurach;Hessen;Mittelzentren
Höchstadt a. d. Aisch;Hessen;Mittelzentren
Illertissen;Hessen;Mittelzentren
Karlstadt;Hessen;Mittelzentren
Kelheim;Hessen;Mittelzentren
Kitzingen;Hessen;Mittelzentren
Kronach;Hessen;Mittelzentren
Krumbach (Schwaben);Hessen;Mittelzentren
Landau an der Isar;Hessen;Mittelzentren
Landsberg am Lech;Hessen;Mittelzentren
Lauf an der Pegnitz;Hessen;Mittelzentren
Lichtenfels (Oberfranken);Hessen;Mittelzentren
Lindau (Bodensee);Hessen;Mittelzentren
Lindenberg im Allgäu;Hessen;Mittelzentren
Lohr am Main;Hessen;Mittelzentren
Mainburg;Hessen;Mittelzentren
Marktheidenfeld;Hessen;Mittelzentren
Marktoberdorf;Hessen;Mittelzentren
Miltenberg;Hessen;Mittelzentren
Mindelheim;Hessen;Mittelzentren
Moosburg an der Isar;Hessen;Mittelzentren
Murnau am Staffelsee;Hessen;Mittelzentren
Mühldorf am Inn;Hessen;Mittelzentren
Münchberg;Hessen;Mittelzentren
Naila;Hessen;Mittelzentren
Neuburg an der Donau;Hessen;Mittelzentren
Neustadt an der Aisch;Hessen;Mittelzentren
Neustadt bei Coburg;Hessen;Mittelzentren
Neutraubling;Hessen;Mittelzentren
Nördlingen;Hessen;Mittelzentren
Oberstdorf;Hessen;Mittelzentren
Ochsenfurt;Hessen;Mittelzentren
Parsberg;Hessen;Mittelzentren
Pegnitz (Stadt);Hessen;Mittelzentren
Penzberg;Hessen;Mittelzentren
Pfaffenhofen an der Ilm;Hessen;Mittelzentren
Pfarrkirchen;Hessen;Mittelzentren
Roth;Hessen;Mittelzentren
Rothenburg ob der Tauber;Hessen;Mittelzentren
Schrobenhausen;Hessen;Mittelzentren
Schwabmünchen;Hessen;Mittelzentren
Schwandorf;Hessen;Mittelzentren
Selb;Hessen;Mittelzentren
Starnberg;Hessen;Mittelzentren
Sulzbach-Rosenberg;Hessen;Mittelzentren
Tirschenreuth;Hessen;Mittelzentren
Viechtach;Hessen;Mittelzentren
Vilsbiburg;Hessen;Mittelzentren
Vilshofen an der Donau;Hessen;Mittelzentren
Waldkraiburg;Hessen;Mittelzentren
Wasserburg am Inn;Hessen;Mittelzentren
Weilheim in Oberbayern;Hessen;Mittelzentren
Weißenburg in Bayern;Hessen;Mittelzentren
Neubrandenburg;Mecklenburg-Vorpommern;Oberzentren
Rostock;Mecklenburg-Vorpommern;Oberzentren
Schwerin;Mecklenburg-Vorpommern;Oberzentren
Stralsund;Mecklenburg-Vorpommern;Oberzentren
Anklam;Mecklenburg-Vorpommern;Mittelzentren
Bad Doberan;Mecklenburg-Vorpommern;Mittelzentren
Bergen auf Rügen;Mecklenburg-Vorpommern;Mittelzentren
Demmin;Mecklenburg-Vorpommern;Mittelzentren
Grevesmühlen;Mecklenburg-Vorpommern;Mittelzentren
